"";"Horodateur";"Gender";"Age";"Country";"Highest level of education attained";"Have you ever been diving or snorkeling?";"How would you evaluate your knowledge of coral reefs?";"Do you have problems with color perception?";"If you wish to exercise your right of withdrawal, please contact Gita ALISA gitaalisa0808@gmail.com with the following code :"
"358";2023-05-21;"Other";22;"United States";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_7f6e0e2854030323536c69e4bbbd3b61"
"359";2023-05-21;"Female";39;"Netherlands";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_f60171338aa8aa7b5042dd58c461f7df"
"360";2023-05-21;"Male";32;"United Kingdom";"Doctoral or Professional degree";"Only snorkeling";"Low";"No";"C_15_judge_53e54c32d771c11b4a94f4fa1a550de3"
"361";2023-05-21;"Female";35;"United States";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_bd410c06cd462f44a7bd9fecb14d24bc"
"362";2023-05-21;"Female";73;"United States";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_3eac835330ce815bdd996aea81199c9b"
"363";2023-05-21;"Male";26;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_13646c35c3536842e4faac2f266d968d"
"364";2023-05-21;"Female";28;"United Kingdom";"Master's degree";"Never";"Poor";"No";"C_15_judge_83926937d28f0f82e4efad703d26a947"
"365";2023-05-21;"Female";39;"Bahamas";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_b21dffda5b3d4160fe916088f8f161fd"
"366";2023-05-21;"Female";26;"Switzerland";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_e1d85d3ffeefd36857ea31dfbf9c5466"
"367";2023-05-21;"Male";31;"Israel";"Doctoral or Professional degree";"Only snorkeling";"Average";"No";"C_15_judge_a77351e0ccde9c4f2f39b77119f52ca2"
"368";2023-05-21;"Other";22;"United States";"Associate's and/or Bachelor's degree";"Never";"Good";"No";"C_15_judge_7ce31178bb75ed7a7e83b4a9e9a54839"
"369";2023-05-21;"Female";30;"Brazil";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_14ff94dbdb556d8737731afb61bce7c6"
"370";2023-05-21;"Female";27;"Réunion";"Master's degree";"Only snorkeling";"Good";"No";"C_15_judge_2106247375c240b81a0f3b814d8bf765"
"371";2023-05-21;"Female";24;"Germany";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_430f3b44d1c0149f4a4957e8456eb3e7"
"372";2023-05-21;"Female";30;"Colombia";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_3d858f7f3e497255649fd333716a306f"
"373";2023-05-21;"Male";30;"Colombia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_0033c0f64e0ecd782982dba04a4d0283"
"374";2023-05-21;"Male";43;"American Samoa";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_449d1614d74c16c08c7708cb6c236c68"
"375";2023-05-21;"Female";32;"United States";"Doctoral or Professional degree";"Only snorkeling";"Excellent";"No";"C_15_judge_995e62c59f776fcadd563d064239fe65"
"376";2023-05-21;"Male";42;"French Southern Territories";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_bc2fbf1181185ba3a94e9538d1d26f90"
"377";2023-05-21;"Female";36;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_b49f807fbea5e2d60965234781ce0829"
"378";2023-05-21;"Male";43;"France";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_a6be550812d3cd0d44809a6a324de07c"
"379";2023-05-21;"Male";37;"Germany";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_fb1b49d2ff86475fbf5f7c55824d6ff3"
"380";2023-05-22;"Male";44;"Australia";"Master's degree";"Both diving and snorkeling";"Excellent";"Yes";"C_15_judge_17d566e13efa716be10c8253803d991c"
"381";2023-05-22;"Female";49;"Australia";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"No";"C_15_judge_d09947150efdde7dd66aca6d528c8d23"
"382";2023-05-22;"Female";29;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_b14b273c18b01da13390d0d0a955d622"
"383";2023-05-22;"Male";49;"Australia";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_a92784f6c8e9316154c01dd2cc18868f"
"384";2023-05-22;"Male";31;"Singapore";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_25eca8fabc1e006c64ea6558af4fcb8b"
"385";2023-05-22;"Male";26;"Singapore";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_1240ca6739ad4bc75166b98b4774ce7d"
"386";2023-05-22;"Female";25;"United States";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_3bbbd9b2e89e7814234ef0906e9dfd91"
"387";2023-05-22;"Male";25;"Indonesia";"High school graduate";"Both diving and snorkeling";"Average";"No";"C_15_judge_6047573c4cdab490cecdf6bfca146de7"
"388";2023-05-22;"Male";23;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_40fd7d742f7c9ebeb63b1188ff33c68f"
"389";2023-05-22;"Male";23;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_cdbc942f5447016dbdea8160cb771b56"
"390";2023-05-22;"Female";48;"Australia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_022d40b48281e6570d86fcde055838c5"
"391";2023-05-22;"Female";23;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Average";"Yes";"C_15_judge_2e1dd50e31efb1ab09e4b4b51bb64d41"
"392";2023-05-22;"Female";24;"Indonesia";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"No";"C_15_judge_133b789dc7124d736d2352111d12382f"
"393";2023-05-22;"Female";38;"Philippines";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_ca304d0a2d4cee9247a971bf5cd1543b"
"394";2023-05-22;"Male";54;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_a2b8450d02bb3a57970e950a23b40643"
"395";2023-05-22;"Female";25;"France";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_241d0d2314254a247039fd08550d7324"
"396";2023-05-22;"Male";40;"Taiwan";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_d066e1d321157c5b58c82f6fd84743cf"
"397";2023-05-22;"Female";22;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_a2499d09d8bce65570e0ea38b6e47bea"
"398";2023-05-22;"Male";50;"United Kingdom";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_cb12a3a1afad09c4a39943ac8a0cbd01"
"399";2023-05-22;"Female";23;"France";"Master's degree";"Never";"Poor";"No";"C_15_judge_2cd1570ab1eb04b608bb372e13565e1d"
"400";2023-05-22;"Female";24;"United Kingdom";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_4b70ab3c2b130b0ebf1241ef024dbb08"
"401";2023-05-22;"Male";51;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_16450621afcddf2477f2ea14ddd8c733"
"402";2023-05-22;"Female";25;"France";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_c5572173717846f81ff83e3f6fe55d60"
"403";2023-05-22;"Female";28;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_87d2413ebfb03db228dd6a73c4dfaf68"
"404";2023-05-22;"Female";25;"United Kingdom";"Master's degree";"Only snorkeling";"Good";"No";"C_15_judge_5bed60f9a7453ead22a8d9694a0127c6"
"405";2023-05-22;"Male";35;"Italy";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_02a22627e22a034f77f4fa9321fb9f67"
"406";2023-05-22;"Female";27;"Germany";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_588edfd249f8ab105812005423c93b4f"
"407";2023-05-22;"Male";22;"Spain";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_b5eea73429d1cfbc65628cd3004727d4"
"408";2023-05-22;"Female";44;"Netherlands";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_773a7b68b73d3ab26d0cc74c015561a0"
"409";2023-05-22;"Male";25;"Italy";"High school graduate";"Both diving and snorkeling";"Good";"No";"C_15_judge_aa8907da4c8435f2853607561c30f4d4"
"410";2023-05-22;"Female";23;"Italy";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_d57ecf14e2ed7ec1d340d08855efa86b"
"411";2023-05-22;"Female";23;"Italy";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_294ee4acdeb8798f834e291047c1f413"
"412";2023-05-22;"Female";46;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_e7e1cb70ea60ce76989760af6f61584e"
"413";2023-05-22;"Female";27;"India";"Master's degree";"Never";"Good";"No";"C_15_judge_e3388b64bf5d8afdd330c33b5964bdf3"
"414";2023-05-22;"Female";57;"Italy";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_25fdae25014abbbcdd234d020327fb35"
"415";2023-05-22;"Female";26;"Italy";"Master's degree";"Only snorkeling";"Good";"No";"C_15_judge_97b5d1831ee37bd1e19a59f58736be74"
"416";2023-05-22;"Female";25;"Italy";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_093611306bf623feebcdada945c09a5b"
"417";2023-05-22;"Male";41;"United Kingdom";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_3b515ad2394a277cf6c76f3bc7b84790"
"418";2023-05-22;"Male";40;"Germany";"Master's degree";"Never";"Low";"No";"C_15_judge_9a2e18e68f8a3e2323271fd9fc6bcef9"
"419";2023-05-22;"Female";24;"Italy";"Master's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_51c781afc1ad540f6da25fe7da67da50"
"420";2023-05-22;"Male";22;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_595ff6c8a6d864c52a7b3f1c377ac409"
"421";2023-05-22;"Female";38;"Norway";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_4f6d53a34e02379e888bcb2739e70b49"
"422";2023-05-22;"Female";33;"United Kingdom";"Associate's and/or Bachelor's degree";"Only snorkeling";"Low";"No";"C_15_judge_15ed59e45b7ea52ac88e7adc19b3b90d"
"423";2023-05-22;"Female";23;"Italy";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_735b9b20d6851d37b98ee6c1a68def3a"
"424";2023-05-22;"Male";23;"Italy";"High school graduate";"Both diving and snorkeling";"Good";"No";"C_15_judge_29b20bc0b3d54e659ca571ba94936f16"
"425";2023-05-22;"Male";25;"France";"Master's degree";"Never";"Low";"No";"C_15_judge_8402625fc7821ed63aeb0f23030981cc"
"426";2023-05-22;"Male";23;"Italy";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_53d28ca2e1f0caa01495828ff7f70301"
"427";2023-05-22;"Female";30;"Italy";"Master's degree";"Never";"Average";"No";"C_15_judge_42bbb7c15f0297571702e0815197c0f7"
"428";2023-05-22;"Female";23;"France";"Master's degree";"Only snorkeling";"Poor";"No";"C_15_judge_a417f679f2c61ef204a9ebb35bf27f73"
"429";2023-05-22;"Female";29;"French Southern Territories";"Professional certificate";"Both diving and snorkeling";"Poor";"No";"C_15_judge_29db3acdc51aa7068525f17e5c6a12f4"
"430";2023-05-22;"Female";21;"France";"High school graduate";"Never";"Low";"No";"C_15_judge_b7c949fb08ae915066a36b3b80b8da90"
"431";2023-05-22;"Female";27;"Italy";"High school graduate";"Only snorkeling";"Low";"No";"C_15_judge_39c97b35b9d90f1dcc8b029ad56d4e92"
"432";2023-05-22;"Male";35;"France";"Master's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_24ea4e8f7d2738762c61ef102c580db0"
"433";2023-05-22;"Female";25;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_81305ffd996937ba85e35c59b659078d"
"434";2023-05-22;"Female";27;"Italy";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_b143d8607d95c9d91735679600854aae"
"435";2023-05-22;"Female";26;"Australia";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_22cd28b80a556a6e3c66d9a5e3208616"
"436";2023-05-22;"Male";23;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_192483f5b747995fa00c718c91d58ea6"
"437";2023-05-22;"Male";23;"Italy";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_ae471d2b59948305dd47d1f95d2d2bbb"
"438";2023-05-22;"Male";63;"Italy";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_2b7ee7e76ce8dc8b916af5502d866a03"
"439";2023-05-22;"Female";40;"Sweden";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_0bb5cebf9ff92fd86e6c2b20327069d1"
"440";2023-05-22;"Female";31;"Italy";"Doctoral or Professional degree";"Only snorkeling";"Average";"No";"C_15_judge_c19ebf5833fa99dd1c7816be5c3ebcfa"
"441";2023-05-22;"Female";28;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_e25d67524373c439fd9e377e9add797e"
"442";2023-05-22;"Male";27;"United Kingdom";"Associate's and/or Bachelor's degree";"Never";"Poor";"No";"C_15_judge_3aa72e4c971c8b87fc7225153cee96f8"
"443";2023-05-22;"Male";24;"France";"Master's degree";"Only snorkeling";"Poor";"No";"C_15_judge_fa8efb0c3e30ff709b914eba7e46aeda"
"444";2023-05-22;"Female";28;"Italy";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_62f79ff11333cbddad2374d4ab5bc69f"
"445";2023-05-22;"Female";25;"Italy";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_7d690b881cf2578d19b8547db55996b7"
"446";2023-05-22;"Female";26;"Sweden";"Associate's and/or Bachelor's degree";"Only snorkeling";"Low";"No";"C_15_judge_4eccf2492f0fe615ef1fe3b049e000e4"
"447";2023-05-22;"Female";27;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_367af7924337941632c649eeea1facf0"
"448";2023-05-22;"Male";38;"Kenya";"Doctoral or Professional degree";"Only diving";"Poor";"No";"C_15_judge_0015ebe6538258a26b6214cefb60d154"
"449";2023-05-22;"Female";23;"United Kingdom";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_5cae11a98bbc577f7cff71c47e0ad11e"
"450";2023-05-22;"Male";25;"Italy";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_357b42f45206210835a2a63171a0ec15"
"451";2023-05-22;"Female";24;"Italy";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_9f08c2115a475dbbb9dc85ecc1e3c9bb"
"452";2023-05-22;"Female";23;"Italy";"Associate's and/or Bachelor's degree";"Never";"Good";"No";"C_15_judge_3a2d4097d02b6d93ed0200151507575a"
"453";2023-05-22;"Female";24;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_2cdb42f3798872d5d4c77cc45dc09159"
"454";2023-05-22;"Male";58;"Italy";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_00623ed54fa8b103e2a9a74861b193d2"
"455";2023-05-22;"Male";41;"United Kingdom";"Doctoral or Professional degree";"Only snorkeling";"Low";"No";"C_15_judge_ebf1956a9b958871f0244d8502fc04f0"
"456";2023-05-22;"Female";28;"France";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_939b59af5cc0168ec6c17b4d4a6ece83"
"457";2023-05-22;"Female";52;"French Southern Territories";"Master's degree";"Never";"Low";"No";"C_15_judge_b3aa91e442a97ac26e46b4110c09ec31"
"458";2023-05-22;"Female";22;"Italy";"High school graduate";"Only snorkeling";"Low";"No";"C_15_judge_088ff2d023ad091abfadaf9f933da19d"
"459";2023-05-22;"Female";28;"Portugal";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_0e3fbba97e1dc3e6021ce460e5bb8086"
"460";2023-05-22;"Female";62;"United Kingdom";"Professional certificate";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_507b194469bb28f80329979775ea73e2"
"461";2023-05-22;"Male";47;"Qatar";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_9c408189bbd371b1f173b57dd9f81eae"
"462";2023-05-22;"Female";48;"Ireland";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_29e82a06e48e48457b48fc5b628c1910"
"463";2023-05-22;"Female";38;"United Kingdom";"High school graduate";"Both diving and snorkeling";"Low";"No";"C_15_judge_2f69cfd5e02d6e4c9be26d76bcebc53b"
"464";2023-05-22;"Male";58;"Mexico";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_61647e3522beb86c4569c71c745db885"
"465";2023-05-22;"Female";32;"Germany";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_526c4b296c26c216f467e46cd6a3b7fb"
"466";2023-05-22;"Male";38;"Netherlands";"Master's degree";"Only snorkeling";"Good";"No";"C_15_judge_670d92315de4ce9c3a565440527a5ab9"
"467";2023-05-22;"Female";32;"United Kingdom";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_9cb2cdae81f02204dd95c67bae182614"
"468";2023-05-22;"Female";50;"Maldives";"High school graduate";"Both diving and snorkeling";"Average";"No";"C_15_judge_76bba4d4ca3b33261e55aab0a621bf88"
"469";2023-05-22;"Male";51;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_2e273da6ef6662f1c5de3121f1a05340"
"470";2023-05-22;"Female";25;"United Kingdom";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_99abb1db53dc965e82d53b9b9cb01506"
"471";2023-05-22;"Male";54;"United Kingdom";"Associate's and/or Bachelor's degree";"Never";"Poor";"No";"C_15_judge_182038c616fce6bd0b1389ebb8451e75"
"472";2023-05-22;"Male";23;"Belgium";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_731ec89809fcc2bcff4e112f64c026d9"
"473";2023-05-22;"Female";47;"United States";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_f701ddb2d2985707514631b5afeb0b7f"
"474";2023-05-22;"Male";59;"Sweden";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_33cc373085826eaea02b596d51e2f565"
"475";2023-05-22;"Male";73;"United States";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_d95a78a161382300c576bf71b1acfa25"
"476";2023-05-22;"Female";56;"United Kingdom";"Master's degree";"Never";"Average";"No";"C_15_judge_c4ed7118dd146190ce97dae927a102fd"
"477";2023-05-22;"Female";28;"Italy";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_e72bac703e11f9aee09730f73d33f8de"
"478";2023-05-22;"Female";30;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_ad97136ea7b9af1d52ce0665f329ecb9"
"479";2023-05-22;"Female";35;"Netherlands";"Master's degree";"Never";"Good";"No";"C_15_judge_64a4fd4b72d7a7a7b898d6f2427798f8"
"480";2023-05-22;"Female";23;"United Kingdom";"Associate's and/or Bachelor's degree";"Only snorkeling";"Excellent";"No";"C_15_judge_4f2752d7efbb8a45749dc28795e3c29f"
"481";2023-05-22;"Male";47;"Netherlands";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_cf5de4f36ddd89413ee52a03f81b02c9"
"482";2023-05-22;"Male";24;"Italy";"Associate's and/or Bachelor's degree";"Only snorkeling";"Poor";"No";"C_15_judge_7289442a87c989fc6667d40033c1dd6e"
"483";2023-05-22;"Male";35;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_b7ea5059078e581d14105a31a339ce2a"
"484";2023-05-22;"Female";42;"United Kingdom";"None";"Never";"Poor";"No";"C_15_judge_66c0786ae0ff8fd482dce6120129ba1d"
"485";2023-05-22;"Male";25;"Italy";"Associate's and/or Bachelor's degree";"Only diving";"Good";"No";"C_15_judge_0bb3086c45e00ba8f859951043a8ba63"
"486";2023-05-22;"Male";46;"United Kingdom";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_8232b3eb6751cb820ba563b34ddc12d1"
"487";2023-05-22;"Female";37;"Belgium";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_e3872129921f2584fb9af8004cd7abf8"
"488";2023-05-22;"Female";23;"Vietnam";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_a756406e9d97c66dfb3d16686e50f3d2"
"489";2023-05-22;"Male";49;"Netherlands";"Master's degree";"Both diving and snorkeling";"Good";"Yes";"C_15_judge_8862dba5b29ff93bc4956495dfc3ce9f"
"490";2023-05-22;"Male";44;"Germany";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_db86b615bbd6ead1270cf8dc298ddd5f"
"491";2023-05-22;"Female";28;"Italy";"High school graduate";"Both diving and snorkeling";"Poor";"No";"C_15_judge_802ad508bf5f8e02ffe704b04900e51b"
"492";2023-05-22;"Female";52;"United Kingdom";"Doctoral or Professional degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_61fc95aeb3883688aa0740678b8e29ea"
"493";2023-05-22;"Female";26;"United Kingdom";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_146e55dacf20d793b53c11f5834cd618"
"494";2023-05-22;"Female";28;"Taiwan";"Master's degree";"Only diving";"Poor";"No";"C_15_judge_2b1c10c5e2bde6a5bbf31cb34c277206"
"495";2023-05-22;"Female";28;"United States";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_d33834d0fd1ceaf6492f89006a4a913e"
"496";2023-05-22;"Female";27;"Switzerland";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Poor";"No";"C_15_judge_057211e61d445018c74bc8349d5b1163"
"497";2023-05-22;"Male";38;"Bangladesh";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_f0a241a0e5f0b90e3afd869e9136ee64"
"498";2023-05-22;"Male";33;"Netherlands Antilles";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_2d2f78bdae9c46f1d14158f210b326e5"
"499";2023-05-22;"Female";39;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_af22c2cbf960ef896f92463159ee0afc"
"500";2023-05-22;"Female";24;"Italy";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_c746b419e53cd01e097af15cb7b679b8"
"501";2023-05-22;"Female";25;"United Kingdom";"Master's degree";"Never";"Average";"No";"C_15_judge_cc2dbcd21f5893701cdf507fd1e5a0a0"
"502";2023-05-22;"Female";44;"Italy";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_794498eb60fe65b4315f788b656cc3d9"
"503";2023-05-22;"Female";25;"United States";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_992ac3287b09fccdbacc43d296238e87"
"504";2023-05-22;"Female";36;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_9ea70eba01ec71b55b03e43959a06666"
"505";2023-05-22;"Male";26;"South Africa";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_5c3147b79889ac10f1bd2a3555bc100d"
"506";2023-05-22;"Male";24;"Italy";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_9dc7cb19276eb687c183a85a686f718b"
"507";2023-05-22;"Female";51;"United Kingdom";"Professional certificate";"Both diving and snorkeling";"Good";"No";"C_15_judge_10558833baf1910353aa12e7bd45bf00"
"508";2023-05-22;"Other";33;"United States";"Master's degree";"Only snorkeling";"Poor";"Yes";"C_15_judge_85634bc841aed8354771b0b40712ac07"
"509";2023-05-22;"Female";29;"United Kingdom";"Associate's and/or Bachelor's degree";"Never";"Poor";"No";"C_15_judge_dd1473e82115a123e7c9448bb594b7f6"
"510";2023-05-22;"Female";26;"France";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_79fdff10a94ccce1fb410aa37cd19924"
"511";2023-05-22;"Female";29;"United States";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_6ad375c25b2b5f8e1147d16d29930fdc"
"512";2023-05-22;"Female";39;"United Kingdom";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_488421f8eb2dd88d14b750d4506f9848"
"513";2023-05-22;"Male";38;"United Kingdom";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_4faeb257e4f4dbbbb046fe6d281d4d7c"
"514";2023-05-22;"Female";26;"Italy";"Master's degree";"Never";"Poor";"No";"C_15_judge_90ac999b477117e76b3e303bb1d23710"
"515";2023-05-22;"Female";31;"Portugal";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_c7c219143f92ddbb6bce59808231d044"
"516";2023-05-22;"Female";27;"United Kingdom";"Master's degree";"Never";"Poor";"No";"C_15_judge_9be37a1cdeda0fc0a8a88fc16719e72f"
"517";2023-05-22;"Male";51;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_bc4642b87773daeece6be94e4b5a9423"
"518";2023-05-22;"Female";34;"Belgium";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_0200fedc602c653ed72b4a4101daa2ac"
"519";2023-05-22;"Female";27;"United States";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_b211d43acadc1a7fc803fff4218b9ace"
"520";2023-05-22;"Female";58;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_e50c17508901d9b744d76a753a843fc8"
"521";2023-05-22;"Male";68;"Netherlands";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_bf1fb2d2461863cd88fe1d7822b37f03"
"522";2023-05-22;"Female";19;"France";"High school graduate";"Never";"Average";"No";"C_15_judge_10e441c89754f494c2262a48bc2ccacd"
"523";2023-05-22;"Female";44;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_e2c55b87f589f66a2ab8383cd1be60e4"
"524";2023-05-22;"Female";25;"Italy";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_d3b3580e9e2aff54e589da717038a5df"
"525";2023-05-22;"Male";63;"United Kingdom";"Professional certificate";"Both diving and snorkeling";"Good";"No";"C_15_judge_e1d0cf9d8a43905e0b8d9248dc0eee63"
"526";2023-05-22;"Female";42;"United Kingdom";"Master's degree";"Never";"Good";"No";"C_15_judge_c099b5d12312d091c049c3f8c4ea5390"
